month,tech,trend
2019-11-01,speech_recognition,31
2019-12-01,bitcoin,11.25
2019-12-01,cryptocurrency,7.25
2019-12-01,x3d_printer,56.75
2019-12-01,x5g,22
2019-12-01,cloud_computing,38.75
2019-12-01,speech_recognition,30.75
2020-01-01,bitcoin,11.25
2020-01-01,cryptocurrency,7.25
2020-01-01,x3d_printer,59
2020-01-01,x5g,23
2020-01-01,cloud_computing,39
2020-01-01,speech_recognition,30.25
2020-02-01,bitcoin,11.75
2020-02-01,cryptocurrency,7.5
2020-02-01,x3d_printer,59.25
2020-02-01,x5g,25.25
2020-02-01,cloud_computing,40
2020-02-01,speech_recognition,30.75
2020-03-01,bitcoin,13.5
2020-03-01,cryptocurrency,8.25
2020-03-01,x3d_printer,62.75
2020-03-01,x5g,33
2020-03-01,cloud_computing,38
2020-03-01,speech_recognition,29.75
2020-04-01,bitcoin,14.75
2020-04-01,cryptocurrency,8.75
2020-04-01,x3d_printer,73
2020-04-01,x5g,52
2020-04-01,cloud_computing,37
2020-04-01,speech_recognition,31.5
2020-05-01,bitcoin,16.5
2020-05-01,cryptocurrency,9.25
2020-05-01,x3d_printer,76.5
2020-05-01,x5g,57.5
2020-05-01,cloud_computing,36
2020-05-01,speech_recognition,31.25
2020-06-01,bitcoin,16.25
2020-06-01,cryptocurrency,9.5
2020-06-01,x3d_printer,78.25
2020-06-01,x5g,60.25
2020-06-01,cloud_computing,35.25
2020-06-01,speech_recognition,30.25
2020-07-01,bitcoin,15.25
2020-07-01,cryptocurrency,9.5
2020-07-01,x3d_printer,74.25
2020-07-01,x5g,56.75
2020-07-01,cloud_computing,35.25
2020-07-01,speech_recognition,30.5
2020-08-01,bitcoin,15.5
2020-08-01,cryptocurrency,10.25
2020-08-01,x3d_printer,64
2020-08-01,x5g,40.75
2020-08-01,cloud_computing,36
2020-08-01,speech_recognition,28.25
2020-09-01,bitcoin,13.75
2020-09-01,cryptocurrency,10.25
2020-09-01,x3d_printer,60.5
2020-09-01,x5g,37.75
2020-09-01,cloud_computing,38.5
2020-09-01,speech_recognition,28.75
2020-10-01,bitcoin,13.75
2020-10-01,cryptocurrency,10
2020-10-01,x3d_printer,59
2020-10-01,x5g,38.75
2020-10-01,cloud_computing,38.75
2020-10-01,speech_recognition,29.25
2020-11-01,bitcoin,16
2020-11-01,cryptocurrency,10.5
2020-11-01,x3d_printer,60.25
2020-11-01,x5g,39
2020-11-01,cloud_computing,40
2020-11-01,speech_recognition,28.5
2020-12-01,bitcoin,19.5
2020-12-01,cryptocurrency,11.75
2020-12-01,x3d_printer,61.25
2020-12-01,x5g,41
2020-12-01,cloud_computing,40.5
2020-12-01,speech_recognition,28.75
2021-01-01,bitcoin,32
2021-01-01,cryptocurrency,17.75
2021-01-01,x3d_printer,62.25
2021-01-01,x5g,42.75
2021-01-01,cloud_computing,38
2021-01-01,speech_recognition,27.25
2021-02-01,bitcoin,45.5
2021-02-01,cryptocurrency,28.25
2021-02-01,x3d_printer,63.25
2021-02-01,x5g,42
2021-02-01,cloud_computing,39
2021-02-01,speech_recognition,26
2021-03-01,bitcoin,51.5
2021-03-01,cryptocurrency,33
2021-03-01,x3d_printer,61.75
2021-03-01,x5g,43
2021-03-01,cloud_computing,39.5
2021-03-01,speech_recognition,26.5
2021-04-01,bitcoin,56.75
2021-04-01,cryptocurrency,42.75
2021-04-01,x3d_printer,60.25
2021-04-01,x5g,43.75
2021-04-01,cloud_computing,39
2021-04-01,speech_recognition,26.25
2021-05-01,bitcoin,57.5
2021-05-01,cryptocurrency,59.25
2021-05-01,x3d_printer,60
2021-05-01,x5g,45.5
2021-05-01,cloud_computing,39.75
2021-05-01,speech_recognition,27
